Predicted Rent,Predicted Class
33618.215,1
25536.176,1
36627.27,1
29558.848,0
49462.77,1
51926.965,1
18105.643,0
17674.818,1
22246.615,0
54183.56,1
41178.23,1
38720.285,1
27718.883,1
42516.645,1
38711.258,1
42475.355,1
36108.137,1
56716.426,1
11346.643,0
44080.55,1
37468.5,1
29025.625,1
51095.06,1
31424.416,1
22646.023,1
56764.598,1
39656.848,1
33476.164,1
30060.342,1
65237.176,1
42406.87,1
62264.88,1
54638.957,1
53290.94,1
31709.19,1
18616.213,1
31611.244,1
38909.824,1
42995.73,1
28127.232,1
29619.904,1
17721.068,0
17631.08,1
32874.332,1
17380.72,1
35986.812,1
15149.408,0
41602.246,1
47348.273,1
23494.516,1
27516.29,1
23135.773,0
36879.65,1
34918.38,1
29053.996,1
29795.322,1
33590.47,0
37356.883,1
7914.7725,0
55790.56,1
26119.361,1
41550.953,1
19840.943,0
47099.926,1
33475.273,1
60949.152,1
33285.973,0
27088.764,0
46476.062,1
19094.22,1
4220.9927,0
35571.902,1
35011.336,1
50625.02,1
21981.955,1
60236.832,1
21387.088,1
26038.764,0
12893.624,0
7997.0103,0
14603.175,0
58375.902,1
41938.246,1
55859.496,1
30404.88,1
20103.076,0
55000.99,1
46175.504,1
23846.754,1
43372.69,1
9891.907,0
30634.236,1
33091.523,1
25385.102,1
20911.756,1
5482.1494,0
13915.317,0
30828.979,1
27435.514,0
10660.434,0
35059.55,1
50790.01,1
34751.863,1
23953.643,1
39478.734,1
30203.998,1
34185.637,1
20174.94,0
47541.633,1
21185.078,1
30597.586,1
31772.877,1
24584.041,0
48402.168,1
45189.26,1
26373.662,1
38770.36,1
61118.3,1
43997.605,1
23308.828,1
31619.213,1
24887.402,0
46067.09,1
42762.465,1
40527.91,1
22692.244,1
22258.701,0
38344.05,1
52304.387,1
62293.566,1
43426.71,1
40803.37,1
14609.168,0
30585.758,1
16670.01,0
55870.62,1
12587.481,0
38261.457,1
22592.975,0
41039.35,1
19757.764,0
50060.965,1
58776.152,1
37521.562,1
59710.723,1
